state,hospital,LHN,remoteness,beds,peer_group,ED,ES,NAP,hospital name,Phone_ number,Street _address,Suburb,Postcode,State_add,Latitude,Longitude
ACT,Calvary Health Care Bruce,Australian Capital Territory,Major Cities,286,Public acute group A,Yes,Yes,Yes,Calvary Public Hospital,02 6201 6111,Haydon Drive,Bruce,2617,ACT,-35.253321,149.089654
ACT,Canberra Hospital,Australian Capital Territory,Major Cities,897,Principal referral,Yes,Yes,Yes,The Canberra Hospital,02 6244 2222,Yamba Drive,Garran,2605,ACT,-35.345777,149.100898
ACT,QEII Family Centre,Australian Capital Territory,Major Cities,24,Early parenting centres,No,No,No,QEII Family Centre,02 6205 2333,129 Carruthers Street,Curtin,2605,ACT,-35.323284,149.079172
VIC,Albury Wodonga Health [Albury Campus],Albury Wodonga Health,Inner Regional,158,Public acute group A,Yes,No,Yes,Albury Wodonga Health [Albury Campus],02 6058 4444,201 Borella Road,Albury,2640,NSW,-36.078401,146.939146
NSW,Armidale,Hunter New England,Inner Regional,99.2,Public acute group B,Yes,Yes,Yes,Armidale Hospital,02 6776 9500,226 Rusden Street,Armidale,2350,NSW,-30.512726,151.655629
NSW,Auburn,Western Sydney,Major Cities,118.2,Public acute group B,Yes,Yes,Yes,Auburn Hospital,02 8759 3000,18-20 Hargrave Road,Auburn,2144,NSW,-33.859867,151.033204
NSW,Ballina,Northern NSW,Inner Regional,59.4,Public acute group C,Yes,Yes,Yes,Ballina Hospital,02 6686 2111,78-92 Cherry Street,Ballina,2478,NSW,-28.863525,153.564013
NSW,Balmain,Sydney,Major Cities,84.2,Public acute group D,No,No,Yes,Balmain Hospital,02 9395 2111,29 Booth Street,Balmain,2041,NSW,-33.859469,151.181469
NSW,Balranald (MPS),Far West,Outer Regional,23.6,Public acute group D,Yes,No,Yes,Balranald Multi Purpose Service,03 5071 9800,41-43 Court Street,Balranald,2715,NSW,-34.644549,143.568413
NSW,Bankstown/ Lidcombe,South Western Sydney,Major Cities,392.3,Public acute group A,Yes,Yes,Yes,Bankstown Lidcombe Hospital,02 9722 8000,68 Eldridge Road,Bankstown,2200,NSW,-33.933088,151.020823
NSW,Baradine (MPS),Western NSW,Remote,18,Public acute group D,Yes,No,Yes,Baradine Multi Purpose Service,02 6843 4100,5-9 Macquarie Street,Baradine,2396,NSW,-30.945316,149.066189
NSW,Barham Koondrook,Murrumbidgee,Outer Regional,6,Public acute group D,Yes,No,Yes,Barham Hospital,03 5451 1000,70 Punt Road,Barham,2732,NSW,-35.623823,144.133479
NSW,Barraba (MPS),Hunter New England,Outer Regional,22,Public acute group D,Yes,No,Yes,Barraba Multi Purpose Service,02 6782 2500,Edward Street,Barraba,2347,NSW,-30.382482,150.605778
NSW,Batemans Bay,Southern NSW,Inner Regional,36.3,Public acute group C,Yes,Yes,Yes,Batemans Bay Hospital,02 4475 1500,7 Pacific Street,Batemans Bay,2536,NSW,-35.714055,150.182375
NSW,Bathurst,Western NSW,Inner Regional,127.8,Public acute group A,Yes,Yes,Yes,Bathurst Health Service,02 6330 5311,361-365 Howick Street,Bathurst,2795,NSW,-33.406512,149.572699
NSW,Batlow/Adelong (MPS),Murrumbidgee,Outer Regional,24,Very small,Yes,No,Yes,Batlow/Adelong Multi Purpose Service,02 6941 4333,61-81 Pioneer Street,Batlow,2730,NSW,-35.521951,148.147891
NSW,Bega,Southern NSW,Outer Regional,92.1,Public acute group B,Yes,Yes,Yes,Bega Hospital,02 6491 9999,4 Virginia Drive,Bega,2550,NSW,-36.68802,149.85861
NSW,Bellinger River,Mid North Coast,Outer Regional,42.4,Public acute group C,Yes,Yes,Yes,Bellinger River District Hospital,02 6659 5800,43 Church Street,Bellingen,2454,NSW,-30.457256,152.893209
NSW,Belmont,Hunter New England,Major Cities,118.1,Public acute group B,Yes,Yes,Yes,Belmont Hospital,02 4923 2000,16 Croudace Bay Road,Belmont,2280,NSW,-33.024631,151.648181
NSW,Berrigan (MPS),Murrumbidgee,Outer Regional,14,Public acute group D,Yes,No,Yes,Berrigan Multi Purpose Service,03 5888 5300,137-143 Memorial Place,Berrigan,2712,NSW,-35.662312,145.813035
NSW,Bingara (MPS),Hunter New England,Outer Regional,21.7,Public acute group D,Yes,No,Yes,Bingara Multi Purpose Service,02 6728 0100,Keera Street,Bingara,2404,NSW,-29.864055,150.579235
NSW,Blacktown,Western Sydney,Major Cities,432.7,Public acute group A,Yes,Yes,Yes,Blacktown Hospital,02 9881 8000,Blacktown Road,Blacktown,2148,NSW,-33.775552,150.917537
NSW,Blayney (MPS),Western NSW,Inner Regional,26.7,Very small,Yes,No,Yes,Blayney Multi Purpose Service,02 6368 9000,3 Osman Street,Blayney,2799,NSW,-33.537728,149.248988
NSW,Blue Mountains,Nepean Blue Mountains,Major Cities,93.3,Public acute group C,Yes,Yes,Yes,Blue Mountains Hospital,02 4784 6500,Lot 3 Woodlands Road,Katoomba,2780,NSW,-33.705329,150.32111
NSW,Boggabri (MPS),Hunter New England,Outer Regional,21.2,Very small,Yes,No,Yes,Boggabri Multi Purpose Service,02 6749 7000,3 Wee Waa Street,Boggabri,2382,NSW,-30.711502,150.040014
NSW,Bombala (MPS),Southern NSW,Outer Regional,18,Public acute group D,Yes,No,Yes,Bombala Multi Purpose Service,02 6458 5777,126-128 Wellington Street,Bombala,2632,NSW,-36.917513,149.235372
NSW,Bonalbo,Northern NSW,Outer Regional,4,Public acute group D,Yes,No,Yes,Bonalbo Hospital,02 6665 1203,Clarence Way,Bonalbo,2469,NSW,-28.733777,152.622789
NSW,Boorowa (MPS),Murrumbidgee,Inner Regional,18,Public acute group D,Yes,No,Yes,Boorowa Multi Purpose Service,02 6385 3004,62-80 Dry Street,Boorowa,2586,NSW,-34.442822,148.727073
NSW,Bourke (MPS),Western NSW,Remote,23.9,Public acute group D,Yes,Yes,Yes,Bourke Multi Purpose Service,02 6870 8888,26 Tarcoon Street,Bourke,2840,NSW,-30.092823,145.947983
NSW,Bourke Street Health Service,Southern NSW,Inner Regional,35.9,Mixed subacute and non-acute,No,No,Yes,Bourke Street Health Service,02 4823 7800,234 Bourke Street,Goulburn,2580,NSW,-34.748721,149.719321
NSW,Bowral,South Western Sydney,Inner Regional,68.7,Public acute group B,Yes,Yes,Yes,Bowral Hospital,02 4861 0200,Lot 3 Mona Road,Bowral,2576,NSW,-34.485043,150.423796
NSW,Braeside,South Western Sydney,Major Cities,72,Mixed subacute and non-acute,No,No,Yes,Braeside Hospital,02 9616 8600,340 Prairie Vale Road,Prairiewood,2176,NSW,-33.861917,150.902192
NSW,Braidwood (MPS),Southern NSW,Inner Regional,30,Public acute group D,Yes,No,Yes,Braidwood Multi Purpose Service,02 4842 2566,77 Monkittee Street,Braidwood,2622,NSW,-35.443216,149.805302
NSW,Brewarrina (MPS),Western NSW,Very Remote,20,Public acute group D,Yes,No,Yes,Brewarrina Multi Purpose Service,02 6830 5000,56 Doyle Street,Brewarrina,2839,NSW,-29.961627,146.863796
NSW,Broken Hill,Far West,Outer Regional,91.3,Public acute group B,Yes,Yes,Yes,Broken Hill Hospital,08 8080 1333,176 Thomas Street,Broken Hill,2880,NSW,-31.947609,141.454703
NSW,Bulahdelah - Myall Lakes,Hunter New England,Inner Regional,,Very small,No,No,Yes,Bulahdelah Hospital,02 4987 9900,Richmond Street,Bulahdelah,2423,NSW,-32.403949,152.210029
NSW,Bulli,Illawarra Shoalhaven,Major Cities,59.8,Public acute group C,No,No,Yes,Bulli Hospital,02 4284 4344,Hospital Road,Bulli,2516,NSW,-34.336667,150.907344
NSW,Byron Central Hospital,Northern NSW,Inner Regional,41.7,Public acute group C,Yes,Yes,Yes,Byron Central Hospital,02 6639 9400,54 Ewingsdale Road,Ewingsdale,2481,NSW,-28.637365,153.555898
NSW,Calvary,South Eastern Sydney,Major Cities,102.5,Rehabilitation and GEM,No,No,Yes,Calvary Hospital,02 9553 3111,91-101 Rocky Point Road,Kogarah,2217,NSW,-33.976132,151.136206
NSW,Calvary Mater Newcastle,Hunter New England,Major Cities,185.3,Public acute group A,Yes,Yes,Yes,Calvary Mater Newcastle Hospital,02 4921 1211,20 Edith Street,Waratah,2298,NSW,-32.899371,151.720858
NSW,Camden,South Western Sydney,Major Cities,62.5,Public acute group D,Yes,No,Yes,Camden Hospital,02 4634 3000,65 Menangle Road,Camden,2570,NSW,-34.062702,150.693297
NSW,Campbell Coraki,Northern NSW,Inner Regional,,Very small,No,No,Yes,Campbell Coraki,02 6683 9000,Surry St,Coraki,2471,NSW,-28.99353,153.27994
NSW,Campbelltown,South Western Sydney,Major Cities,451.8,Public acute group A,Yes,Yes,Yes,Campbelltown Hospital,02 4634 3000,Therry Road,Campbelltown,2560,NSW,-34.077651,150.806321
NSW,Canowindra,Western NSW,Inner Regional,10,Public acute group D,Yes,No,Yes,Canowindra Hospital,02 6340 3033,Browns Avenue,Canowindra,2804,NSW,-33.557204,148.676576
NSW,Canterbury,Sydney,Major Cities,148,Public acute group B,Yes,Yes,Yes,Canterbury Hospital,02 9787 0000,575 Canterbury Road,Campsie,2194,NSW,-33.919592,151.098275
NSW,Casino,Northern NSW,Inner Regional,29.6,Public acute group C,Yes,Yes,Yes,Casino Hospital,02 6662 2111,Hotham Street,Casino,2470,NSW,-28.859839,153.035827
NSW,Cessnock,Hunter New England,Inner Regional,49.3,Public acute group C,Yes,Yes,Yes,Cessnock Hospital,02 4991 0555,24 View Street,Cessnock,2325,NSW,-32.827754,151.348396
NSW,Children's Hospital Westmead,Sydney Children's Hospitals Network,Major Cities,300.9,Childrens,Yes,Yes,Yes,The Children's Hospital at Westmead,02 9845 0000,178 Hawkesbury Road,Westmead,2145,NSW,-33.801554,150.991759
NSW,Cobar,Western NSW,Remote,10,Public acute group D,Yes,No,Yes,Cobar Health Service,02 6830 2111,Lerida Road,Cobar,2835,NSW,-31.509026,145.825266
NSW,Coffs Harbour,Mid North Coast,Inner Regional,282.2,Public acute group A,Yes,Yes,Yes,Coffs Harbour Hospital,02 6656 7000,345 Pacific Highway,Coffs Harbour,2450,NSW,-30.317579,153.093667
NSW,Coledale,Illawarra Shoalhaven,Major Cities,37.7,Mixed subacute and non-acute,No,No,Yes,Coledale Hospital,02 4267 0111,636 Lawrence Hargrave Drive,Coledale,2515,NSW,-34.283797,150.950796
NSW,Collarenebri (MPS),Western NSW,Remote,13,Very small,Yes,No,Yes,Collarenebri Multi Purpose Service,02 6756 4800,Walgett Street,Collarenebri,2833,NSW,-29.544889,148.581901
NSW,Concord,Sydney,Major Cities,676.1,Principal referral,Yes,Yes,Yes,Concord Hospital,02 9767 5000,Hospital Road,Concord,2139,NSW,-33.837288,151.092664
NSW,Condobolin,Western NSW,Outer Regional,22,Public acute group D,Yes,No,Yes,Condobolin Health Service,02 6890 1500,Madline Street,Condobolin,2877,NSW,-33.082332,147.154161
NSW,Coolah (MPS),Western NSW,Outer Regional,26.1,Public acute group D,Yes,No,Yes,Coolah Multi Purpose Service,02 6377 9100,111-135 Martin Street,Coolah,2843,NSW,-31.821473,149.710049
NSW,Coolamon (MPS),Murrumbidgee,Inner Regional,14,Public acute group D,Yes,No,Yes,Coolamon Multi Purpose Service,02 6927 3303,Doctor Buchanan Drive,Coolamon,2701,NSW,-34.819885,147.199329
NSW,Cooma HS,Southern NSW,Inner Regional,33.1,Public acute group C,Yes,Yes,Yes,Cooma Hospital,02 6455 3222,Bent Street,Cooma,2630,NSW,-36.241389,149.130499
NSW,Coonabarabran,Western NSW,Outer Regional,12.1,Public acute group D,Yes,Yes,Yes,Coonabarabran Health Service,02 6826 6100,101-103 Edwards Street,Coonabarabran,2357,NSW,-31.274791,149.284779
NSW,Coonamble (MPS),Western NSW,Remote,22.3,Public acute group D,Yes,No,Yes,Coonamble Multi Purpose Service,02 6827 1100,150 Castlereagh Street,Coonamble,2829,NSW,-30.964803,148.387527
NSW,Cootamundra,Murrumbidgee,Inner Regional,29.9,Public acute group C,Yes,Yes,Yes,Cootamundra Hospital,02 6942 0444,120 Mackay Street,Cootamundra,2590,NSW,-34.634386,148.012796
NSW,Coral Tree Family Centre,Northern Sydney,Major Cities,10.2,Psychiatric,No,No,No,Coral Tree Family Centre,02 9887 5830,Badajoz And Twin Roads,North Ryde,2113,NSW,-33.804256,151.126212
NSW,Corowa (MPS),Murrumbidgee,Inner Regional,49.9,Public acute group C,Yes,Yes,Yes,Corowa Hospital,02 6033 1333,74 Guy Street,Corowa,2646,NSW,-35.993528,146.383541
NSW,Cowra,Western NSW,Inner Regional,39.2,Public acute group C,Yes,Yes,Yes,Cowra Health Service,02 6340 9000,64 Liverpool Street,Cowra,2794,NSW,-33.832137,148.692376
NSW,Crookwell,Southern NSW,Inner Regional,15,Public acute group D,Yes,No,Yes,Crookwell Hospital,02 4832 1300,17 Kialla Road,Crookwell,2583,NSW,-34.464222,149.467427
NSW,Culcairn (MPS),Murrumbidgee,Inner Regional,33,Public acute group D,Yes,No,Yes,Culcairn Multi Purpose Service,02 6029 8203,51-55 Balfour Street,Culcairn,2660,NSW,-35.667399,147.042104
NSW,Cumberland,Western Sydney,Major Cities,222.2,Psychiatric,No,No,No,Cumberland Hospital,02 9840 3000,1-11 Hainsworth Street,Westmead,2145,NSW,-33.80159,150.995246
NSW,David Berry,Illawarra Shoalhaven,Inner Regional,26.1,Mixed subacute and non-acute,No,No,Yes,David Berry Hospital,02 4464 1001,85 Tannery Road,Berry,2535,NSW,-34.775909,150.712819
NSW,Delegate (MPS),Southern NSW,Outer Regional,13,Very small,Yes,No,Yes,Delegate Multi Purpose Service,02 6459 8000,15 Craigie Street,Delegate,2633,NSW,-37.04496,148.945958
NSW,Deniliquin,Murrumbidgee,Inner Regional,35.9,Public acute group C,Yes,Yes,Yes,Deniliquin Hospital,03 5882 2800,411 Charlotte Street,Deniliquin,2710,NSW,-35.524044,144.963301
NSW,Denman (MPS),Hunter New England,Inner Regional,17,Very small,Yes,No,Yes,Denman Multi Purpose Service,02 6547 3999,51-53 Ogilvie Street,Denman,2328,NSW,-32.389483,150.684453
NSW,Dorrigo (MPS),Mid North Coast,Outer Regional,27,Public acute group D,Yes,No,Yes,Dorrigo Multi Purpose Service,02 6692 7700,14 Beech Street,Dorrigo,2453,NSW,-30.340625,152.713882
NSW,Dubbo,Western NSW,Inner Regional,176,Public acute group A,Yes,Yes,Yes,Dubbo Hospital,02 6809 6809,Myall Street,Dubbo,2830,NSW,-32.239339,148.620772
NSW,Dunedoo (MPS),Western NSW,Outer Regional,29.6,Very small,Yes,No,Yes,Dunedoo Multi Purpose Service,02 6370 3000,70 Digilah Street,Dunedoo,2844,NSW,-32.017204,149.397366
NSW,Dungog,Hunter New England,Inner Regional,12,Public acute group D,Yes,No,Yes,Dungog Hospital,02 4995 7000,58 Hospital Road,Dungog,2420,NSW,-32.401948,151.746157
NSW,Eugowra (MPS),Western NSW,Outer Regional,13.8,Very small,No,No,Yes,Eugowra Multipurpose Service,02 6850 4000,Cooper Street,Eugowra,2806,NSW,-33.424421,148.366799
